FemaleFrequency,MaleFrequency
0.00205,0.00047
0.00292,0.00067
0.00209,0.00048
0.00201,0.00046
0,0
9.00E-05,2.00E-05
0.0182,0.00419
0.00233,0.00054
0.00097,0.00022
0.00904,0.00208
0,0
0.00079,0.00018
0.00204,0.00047
0.00779,0.00179
0.00021,5.00E-05
0.01819,0.00419
0.06711,0.01545
0.00554,0.00128
0.01786,0.00411
0.00233,0.00054
2.00E-05,0
0.00292,0.00067
0.01721,0.00396
0.00181,0.00042
0.00876,0.00202
0.00292,0.00067
0.00571,0.00131
0.00759,0.00175
3.00E-05,1.00E-05
0.00263,6.00E-04
0.03448,0.00794
0.01053,0.00242
0.00012,3.00E-05
0.00453,0.00104
0.00175,4.00E-04
0.00117,0.00027
0.00175,4.00E-04
0.00137,0.00032
0.04295,0.00989
0.00043,1.00E-04
0.0035,0.00081
0.00104,0.00024
0.04683,0.01078
0.00207,0.00048
0.00057,0.00013
0.00175,4.00E-04
0.00204,0.00047
0.02461,0.00567
0.00345,0.00079
0.00053,0.00012
0.00904,0.00208
0.0035,0.00081
0.00286,0.00066
0.00059,0.00014
0.00175,4.00E-04
0.00175,4.00E-04
1.00E-05,0
0.00292,0.00067
0.00081,0.00019
0.0013,3.00E-04
0.00233,0.00054
0.00204,0.00047
0.00205,0.00047
0.0104,0.00239
0.02089,0.00481
0.00204,0.00047
0.00263,6.00E-04
0.00022,5.00E-05
0,0
0.11762,0.02708
0.00248,0.00057
0.00779,0.00179
0.00902,0.00208
0.00204,0.00047
6.00E-05,1.00E-05
0.00204,0.00047
0.00233,0.00054
6.00E-05,1.00E-05
0.00978,0.00225
0.01034,0.00238
0.00292,0.00067
0.02257,0.0052
0,0
0.00438,0.00101
0.00167,0.00038
0.01564,0.0036
0.00062,0.00014
0.0019,0.00044
0.00027,6.00E-05
0.00233,0.00054
0.00483,0.00111
1.00E-05,0
0.05896,0.01357
0.0047,0.00108
0.00175,4.00E-04
0.00175,4.00E-04
0.00672,0.00155
0.00379,0.00087
0.01176,0.00271
0.00535,0.00123
0.00114,0.00026
0.00379,0.00087
0.00099,0.00023
0.00246,0.00057
0.00287,0.00066
0.00379,0.00087
0.03009,0.00693
0.00461,0.00106
0.00875,0.00202
0.00408,0.00094
0.00525,0.00121
2.00E-05,0
0.03316,0.00764
2.00E-05,0
0.00175,4.00E-04
0.0079,0.00182
0.12445,0.02865
0.00204,0.00047
0.00024,6.00E-05
0.00218,5.00E-04
0.00519,0.0012
0.00239,0.00055
0.00273,0.00063
0.00106,0.00024
0.00175,4.00E-04
0.00018,4.00E-05
0.00175,4.00E-04
0.00233,0.00054
0.04151,0.00956
0.00043,1.00E-04
0.00654,0.0015
0.00292,0.00067
0.00162,0.00037
0.00181,0.00042
0.00027,6.00E-05
0.00175,4.00E-04
0.00175,4.00E-04
0.00379,0.00087
0.00175,4.00E-04
0.00071,0.00016
0.00109,0.00025
0.01064,0.00245
0.00379,0.00087
0.00175,4.00E-04
0.00467,0.00107
0.00204,0.00047
0.0342,0.00787
0.00175,4.00E-04
0.00233,0.00054
0.00576,0.00133
0.00204,0.00047
8.00E-05,2.00E-05
0.00017,4.00E-05
0.00175,4.00E-04
0.02521,0.0058
0.02248,0.00518
0.00214,0.00049
0.00812,0.00187
0.00034,8.00E-05
0.00175,4.00E-04
0.00063,0.00015
0.00175,4.00E-04
0.00175,4.00E-04
0.01022,0.00235
